Rep,Oxygen,Treatment
524,7.847072,Mangrove
525,8.017632,Mangrove
526,8.1096,Mangrove
527,8.138688,Mangrove
528,8.244576,Mangrove
529,8.245312,Mangrove
530,8.255008,Mangrove
531,8.264544,Mangrove
532,8.251488,Mangrove
533,8.256192,Mangrove
534,8.24896,Mangrove
535,8.217952,Mangrove
536,8.1736,Mangrove
537,8.22496,Mangrove
538,8.174912,Mangrove
539,8.201472,Mangrove
540,8.186208,Mangrove
541,8.263104,Mangrove
542,8.209792,Mangrove
543,8.277792,Mangrove
544,8.300256,Mangrove
545,8.269856,Mangrove
546,8.24448,Mangrove
547,8.251936,Mangrove
548,8.202656,Mangrove
549,8.22096,Mangrove
550,8.221632,Mangrove
551,8.203808,Mangrove
552,8.20208,Mangrove
553,8.183936,Mangrove
554,8.219008,Mangrove
555,8.216672,Mangrove
556,8.235296,Mangrove
557,8.278784,Mangrove
558,8.270944,Mangrove
559,8.288096,Mangrove
560,8.253312,Mangrove
561,8.232512,Mangrove
562,8.295168,Mangrove
563,8.373824,Mangrove
564,8.375744,Mangrove
565,8.428224,Mangrove
566,8.37296,Mangrove
567,8.33888,Mangrove
568,8.28304,Mangrove
569,8.335424,Mangrove
570,8.388544,Mangrove
571,8.206144,Mangrove
572,8.206048,Mangrove
573,8.189728,Mangrove
574,8.148448,Mangrove
575,8.147072,Mangrove
576,8.150816,Mangrove
577,8.14128,Mangrove
578,8.092832,Mangrove
579,8.126496,Mangrove
580,8.115712,Mangrove
581,8.134656,Mangrove
582,8.144736,Mangrove
583,8.130496,Mangrove
584,8.145184,Mangrove
585,8.068128,Mangrove
586,8.090304,Mangrove
587,8.084736,Mangrove
588,8.110848,Mangrove
589,8.17056,Mangrove
590,8.09152,Mangrove
591,8.122976,Mangrove
592,8.144384,Mangrove
593,8.160096,Mangrove
594,8.15728,Mangrove
595,8.202432,Mangrove
596,8.213152,Mangrove
597,8.18448,Mangrove
598,8.190272,Mangrove
599,8.20416,Mangrove
600,8.1944,Mangrove
601,8.160448,Mangrove
602,8.180768,Mangrove
603,8.154272,Mangrove
604,8.20016,Mangrove
605,8.212928,Mangrove
606,8.143072,Mangrove
607,8.159104,Mangrove
608,8.132384,Mangrove
609,8.164288,Mangrove
610,8.18672,Mangrove
611,8.16528,Mangrove
612,8.15392,Mangrove
613,8.165024,Mangrove
614,8.154176,Mangrove
615,8.173472,Mangrove
616,8.121664,Mangrove
617,8.157952,Mangrove
618,8.15952,Mangrove
619,8.124096,Mangrove
620,8.201984,Mangrove
621,8.214784,Mangrove
622,8.24624,Mangrove
623,8.279296,Mangrove
624,8.323872,Mangrove
625,8.410656,Mangrove
626,8.367808,Mangrove
627,8.340544,Mangrove
628,8.287712,Mangrove
629,8.227648,Mangrove
630,8.243808,Mangrove
631,8.179744,Mangrove
632,8.139936,Mangrove
633,8.105152,Mangrove
634,8.120768,Mangrove
635,8.097856,Mangrove
636,8.0808,Mangrove
637,8.08144,Mangrove
638,8.10288,Mangrove
639,8.060768,Mangrove
640,8.065248,Mangrove
641,8.108736,Mangrove
642,8.086496,Mangrove
643,8.063584,Mangrove
644,8.065504,Mangrove
645,8.147616,Mangrove
646,8.207392,Mangrove
647,8.219136,Mangrove
648,8.268352,Mangrove
649,8.164928,Mangrove
650,8.270368,Mangrove
651,8.294656,Mangrove
652,8.31456,Mangrove
653,8.33664,Mangrove
654,8.336384,Mangrove
655,8.429856,Mangrove
656,8.40176,Mangrove
657,8.44,Mangrove
658,8.407328,Mangrove
659,8.52624,Mangrove
660,8.54976,Mangrove
661,8.4632,Mangrove
662,8.405824,Mangrove
663,8.459328,Mangrove
664,8.467264,Mangrove
665,8.540256,Mangrove
666,8.502464,Mangrove
667,8.49328,Mangrove
668,8.5032,Mangrove
669,8.391968,Mangrove
670,8.361024,Mangrove
671,8.38496,Mangrove
672,8.373216,Mangrove
673,8.30032,Mangrove
674,8.246944,Mangrove
675,8.221728,Mangrove
676,8.200896,Mangrove
677,8.135008,Mangrove
678,8.126816,Mangrove
679,8.091008,Mangrove
680,8.057216,Mangrove
681,8.064032,Mangrove
682,8.024256,Mangrove
683,8.047136,Mangrove
684,8.017312,Mangrove
685,8.008032,Mangrove
686,7.998816,Mangrove
687,7.969536,Mangrove
688,7.96272,Mangrove
689,7.947744,Mangrove
690,7.981088,Mangrove
691,7.947968,Mangrove
692,7.981216,Mangrove
693,7.955392,Mangrove
694,7.917216,Mangrove
695,7.932608,Mangrove
696,7.994496,Mangrove
697,7.945248,Mangrove
698,7.93712,Mangrove
699,7.949696,Mangrove
700,7.964448,Mangrove
701,7.927232,Mangrove
702,7.926464,Mangrove
703,7.94896,Mangrove
704,7.918336,Mangrove
705,7.93232,Mangrove
706,7.975648,Mangrove
707,7.965696,Mangrove
708,7.978912,Mangrove
709,7.982496,Mangrove
710,7.98512,Mangrove
711,7.985056,Mangrove
712,7.99776,Mangrove
713,7.931616,Mangrove
714,7.916544,Mangrove
715,7.920928,Mangrove
716,7.948064,Mangrove
717,7.976896,Mangrove
718,7.959712,Mangrove
719,7.956736,Mangrove
720,7.966752,Mangrove
721,7.981248,Mangrove
722,7.953152,Mangrove
723,7.958528,Mangrove
724,7.95616,Mangrove
725,7.963392,Mangrove
726,7.992192,Mangrove
727,7.977536,Mangrove
728,7.957248,Mangrove
729,7.975936,Mangrove
730,7.971104,Mangrove
731,7.971296,Mangrove
732,7.940864,Mangrove
733,7.930976,Mangrove
734,7.91408,Mangrove
735,7.913248,Mangrove
736,7.986592,Mangrove
737,7.97856,Mangrove
738,7.950624,Mangrove
739,7.970144,Mangrove
740,7.956448,Mangrove
741,7.977504,Mangrove
742,7.933056,Mangrove
743,7.9552,Mangrove
744,7.957056,Mangrove
745,7.943552,Mangrove
746,7.987776,Mangrove
747,7.946464,Mangrove
748,7.981472,Mangrove
749,7.978624,Mangrove
750,7.953408,Mangrove
751,7.998016,Mangrove
752,8.016384,Mangrove
753,7.989408,Mangrove
754,7.97424,Mangrove
755,7.940192,Mangrove
756,7.954144,Mangrove
757,7.973696,Mangrove
758,7.977088,Mangrove
759,7.995136,Mangrove
760,7.981024,Mangrove
761,7.976448,Mangrove
762,7.9632,Mangrove
763,7.96912,Mangrove
764,7.988544,Mangrove
765,7.99424,Mangrove
766,7.979584,Mangrove
767,7.954528,Mangrove
768,8.025024,Mangrove
769,7.983136,Mangrove
770,7.971136,Mangrove
771,7.945056,Mangrove
772,7.979552,Mangrove
773,7.97968,Mangrove
774,7.97744,Mangrove
775,7.98448,Mangrove
776,7.962368,Mangrove
777,7.994976,Mangrove
778,8.014368,Mangrove
779,8.010688,Mangrove
780,8.041312,Mangrove
781,8.00144,Mangrove
782,7.986336,Mangrove
783,7.961088,Mangrove
784,7.952832,Mangrove
785,7.968448,Mangrove
786,7.98528,Mangrove
787,8.00368,Mangrove
788,7.99552,Mangrove
789,8.03344,Mangrove
790,8.003776,Mangrove
791,7.9864,Mangrove
792,7.971744,Mangrove
793,7.979008,Mangrove
794,7.978976,Mangrove
795,7.908384,Mangrove
796,7.986016,Mangrove
797,8.024544,Mangrove
798,8.0064,Mangrove
799,7.983456,Mangrove
800,7.9688,Mangrove
801,8.036224,Mangrove
802,7.98016,Mangrove
803,7.974848,Mangrove
804,7.949472,Mangrove
805,7.962432,Mangrove
806,8.010848,Mangrove
807,7.995776,Mangrove
808,7.999072,Mangrove
809,8.013376,Mangrove
810,8.076832,Mangrove
811,8.04688,Mangrove
812,8.084384,Mangrove
813,8.045824,Mangrove
814,8.016928,Mangrove
815,7.9944,Mangrove
816,7.959264,Mangrove
817,7.964768,Mangrove
818,7.981952,Mangrove
819,7.963072,Mangrove
820,7.997632,Mangrove
821,8.006496,Mangrove
822,8.00912,Mangrove
823,8.01184,Mangrove
824,8.024,Mangrove
825,7.974592,Mangrove
826,7.985248,Mangrove
827,8.0032,Mangrove
828,8.005248,Mangrove
829,7.984352,Mangrove
830,8.026528,Mangrove
831,8.0536,Mangrove
832,8.07632,Mangrove
833,8.155552,Mangrove
834,8.142592,Mangrove
835,8.129952,Mangrove
836,8.128224,Mangrove
837,8.108416,Mangrove
838,8.09792,Mangrove
839,8.041216,Mangrove
840,8.052704,Mangrove
841,8.005536,Mangrove
842,7.98864,Mangrove
843,7.972384,Mangrove
844,7.956992,Mangrove
845,7.93552,Mangrove
846,7.949792,Mangrove
847,7.935904,Mangrove
848,7.919296,Mangrove
849,7.954336,Mangrove
850,7.969248,Mangrove
851,7.940992,Mangrove
852,7.97232,Mangrove
853,7.934048,Mangrove
854,8.046784,Mangrove
855,8.119616,Mangrove
856,8.110112,Mangrove
857,8.081504,Mangrove
858,7.99776,Mangrove
859,8.04192,Mangrove
860,8.068288,Mangrove
861,8.017248,Mangrove
862,8.051552,Mangrove
863,8.061504,Mangrove
864,8.036736,Mangrove
865,8.055008,Mangrove
866,8.027072,Mangrove
867,8.06704,Mangrove
868,7.99008,Mangrove
869,8.09904,Mangrove
870,8.131552,Mangrove
871,8.200256,Mangrove
872,8.207008,Mangrove
873,8.2392,Mangrove
874,8.17248,Mangrove
875,8.140192,Mangrove
876,8.144448,Mangrove
877,8.070848,Mangrove
878,8.0744,Mangrove
879,8.061984,Mangrove
880,8.082272,Mangrove
881,8.070656,Mangrove
882,8.022848,Mangrove
883,7.97328,Mangrove
884,7.969888,Mangrove
885,7.967008,Mangrove
886,7.953664,Mangrove
887,7.971456,Mangrove
888,7.975296,Mangrove
889,7.982688,Mangrove
890,7.953792,Mangrove
891,7.949024,Mangrove
892,7.954048,Mangrove
893,7.9368,Mangrove
894,7.943296,Mangrove
895,7.963296,Mangrove
896,7.96384,Mangrove
897,7.959648,Mangrove
898,7.97216,Mangrove
899,7.957792,Mangrove
900,7.95376,Mangrove
901,7.958112,Mangrove
902,8.000064,Mangrove
903,7.951712,Mangrove
904,7.95296,Mangrove
905,7.971616,Mangrove
906,7.981632,Mangrove
907,7.982656,Mangrove
908,8.001056,Mangrove
909,8.008832,Mangrove
910,7.987232,Mangrove
911,7.980192,Mangrove
912,7.981152,Mangrove
913,7.978048,Mangrove
914,7.995616,Mangrove
915,7.979488,Mangrove
916,8.009984,Mangrove
917,8.01056,Mangrove
918,7.983584,Mangrove
919,8.001664,Mangrove
920,8.002432,Mangrove
921,7.986624,Mangrove
922,7.99536,Mangrove
923,7.99904,Mangrove
924,7.986784,Mangrove
925,7.963552,Mangrove
926,8.00288,Mangrove
927,7.977376,Mangrove
928,7.971392,Mangrove
929,7.9512,Mangrove
930,7.976928,Mangrove
931,7.995584,Mangrove
932,8.019296,Mangrove
933,7.973312,Mangrove
934,8.014816,Mangrove
935,8.001152,Mangrove
936,7.964128,Mangrove
937,7.988,Mangrove
938,7.977088,Mangrove
939,7.986304,Mangrove
940,7.959456,Mangrove
941,7.984416,Mangrove
942,7.973248,Mangrove
943,7.993728,Mangrove
944,7.984928,Mangrove
945,7.987264,Mangrove
946,7.98896,Mangrove
947,7.9744,Mangrove
948,7.999488,Mangrove
949,7.983008,Mangrove
950,7.974176,Mangrove
951,7.984928,Mangrove
952,7.999872,Mangrove
953,8.022784,Mangrove
954,8.01232,Mangrove
955,7.988448,Mangrove
956,8.012416,Mangrove
957,8.001408,Mangrove
958,8.012,Mangrove
959,8.024352,Mangrove
960,8.028736,Mangrove
961,8.020128,Mangrove
962,8.024928,Mangrove
963,8.02368,Mangrove
964,8.022688,Mangrove
965,8.032064,Mangrove
966,7.990016,Mangrove
967,8.010784,Mangrove
968,8.014944,Mangrove
969,8.019424,Mangrove
970,8.029024,Mangrove
971,8.029728,Mangrove
972,8.027264,Mangrove
973,8.026144,Mangrove
974,8.008608,Mangrove
975,8.045632,Mangrove
976,8.06496,Mangrove
977,8.0336,Mangrove
978,8.026016,Mangrove
979,8.020576,Mangrove
980,8.008544,Mangrove
981,8.02288,Mangrove
982,8.036416,Mangrove
983,8.049312,Mangrove
984,8.024352,Mangrove
985,8.03648,Mangrove
986,8.032128,Mangrove
987,8.02608,Mangrove
988,8.05024,Mangrove
989,8.024448,Mangrove
990,8.021312,Mangrove
991,8.051264,Mangrove
992,8.02656,Mangrove
993,8.025536,Mangrove
994,8.040832,Mangrove
995,8.011104,Mangrove
996,8.007072,Mangrove
997,8.024416,Mangrove
998,8.023168,Mangrove
999,8.030688,Mangrove
1000,8.030304,Mangrove
1001,8.06704,Mangrove
1002,8.013984,Mangrove
1003,8.015584,Mangrove
1004,8.029568,Mangrove
1005,8.055584,Mangrove
1006,8.046528,Mangrove
1007,8.0344,Mangrove
1008,8.026848,Mangrove
1009,8.015456,Mangrove
1010,8.016128,Mangrove
1011,8.029344,Mangrove
1012,8.061792,Mangrove
1013,8.040224,Mangrove
1014,8.045728,Mangrove
1015,8.02704,Mangrove
1016,8.01616,Mangrove
1017,8.013216,Mangrove
1018,8.022016,Mangrove
1019,8.018944,Mangrove
1020,8.05392,Mangrove
1021,8.013216,Mangrove
1022,8.033312,Mangrove
1023,8.044352,Mangrove
1024,8.044928,Mangrove
1025,8.023776,Mangrove
1026,8.034208,Mangrove
1027,8.082208,Mangrove
1028,8.031168,Mangrove
1029,8.024288,Mangrove
1030,8.021728,Mangrove
1031,8.027168,Mangrove
1032,8.02736,Mangrove
1033,8.042144,Mangrove
1034,8.029312,Mangrove
1035,8.021728,Mangrove
1036,8.015776,Mangrove
1037,8.004544,Mangrove
1038,8.00624,Mangrove
1039,8.043552,Mangrove
1040,8.028992,Mangrove
1041,8.037664,Mangrove
1042,8.040448,Mangrove
1043,5.705568,Mangrove
1044,5.209248,Mangrove
1045,5.289376,Mangrove
1046,5.443392,Mangrove
1047,5.422176,Mangrove
1048,5.565376,Mangrove
1049,5.72272,Mangrove
1050,4.525152,Mangrove
1051,4.0272,Mangrove
1052,3.52464,Mangrove
1053,3.54816,Mangrove
1054,3.743968,Mangrove
1055,3.899488,Mangrove
1056,4.004672,Mangrove
1057,4.756768,Mangrove
1058,4.63472,Mangrove
1059,4.430368,Mangrove
1060,4.76912,Mangrove
1061,5.109984,Mangrove
1062,5.3632,Mangrove
1063,5.336672,Mangrove
1064,5.775104,Mangrove
1065,5.797152,Mangrove
1066,5.8752,Mangrove
1067,5.106752,Mangrove
1068,4.66944,Mangrove
1069,4.697536,Mangrove
